domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address
stalmetural.ru,Москва,7 (499) 130-60-28,7 (499) 130-07-86,7 (499) 130-36-69,4991303669;9031303669;4991300786;9031300786;4991306028;9031306028,msk@stalmetural.ru,"улица Люблинская, 151"
spb.stalmetural.ru,Санкт-Петербург,7 (812) 703-86-65,7 (812) 985-86-88,7 (812) 983-13-66,8129831366;9052231366;8129858688;9626858688;8127038665;9052038665;9030846889,spb@stalmetural.ru,"улица Воронежская, 96"
novosibirsk.stalmetural.ru,Новосибирск,7 (383) 263-09-98,7 (383) 255-86-80,7 (383) 263-06-60,3832630660;9039000660;3832558680;9628358680;3832630998;9039000998,novosibirsk@stalmetural.ru,"улица ​Максима Горького, 79"
ekaterinburg.stalmetural.ru,Екатеринбург,7 (343) 266-31-16,7 (343) 266-33-39,7 (343) 288-75-86,3432887586;9030846889;3432663339;9030863339;3432663116;9030863116,ekb@stalmetural.ru,"улица Данилы Зверева, 31литS"
kazan.stalmetural.ru,Казань,7 (843) 259-00-86,7 (843) 253-36-78,7 (843) 253-86-26,8432538626;9033888626;8432533678;9033053678;8432590086;9625590086;9030846889,kazan@stalmetural.ru,"улица ​Пушкина, 52"
n-novgorod.stalmetural.ru,Нижний Новгород,,7 (962) 388-79-12,7 (831) 414-00-86,8314140086;9036010086;9623887912;9030846889,novgorod@stalmetural.ru,"улица ​Рождественская, 13"
krasnoyarsk.stalmetural.ru,Красноярск,,7 (962) 388-79-12,7 (391) 271-36-98,3912713698;9631913698;9623887912;9039000660,krasnoyarsk@stalmetural.ru,"улица ​Карла Маркса, 95к1"
chelyabinsk.stalmetural.ru,Челябинск,7 (351) 216-08-81,7 (351) 216-30-08,7 (351) 216-03-86,3512160386;9678620386;3512163008;9624853008;3512160881;9624850881;9030846889,chel@stalmetural.ru,"улица Карла Маркса, 52"
ufa.stalmetural.ru,Уфа,,7 (962) 388-79-12,7 (347) 299-68-60,3472996860;9608006860;9623887912;9030846889,ufa@stalmetural.ru,"улица Юрия Гагарина, 6"
samara.stalmetural.ru,Самара,7 (846) 221-00-67,7 (846) 221-81-55,7 (846) 221-08-85,8462210885;9033010885;8462218155;9033013155;8462210067;9033010067;9030846889,samara@stalmetural.ru,"улица Ярмарочная, 55"
rostov-na-donu.stalmetural.ru,Ростов-на-Дону,,7 (962) 388-79-12,7 (863) 221-10-96,8632211096;9034011096;9623887912;9030846889,rostov-na-donu@stalmetural.ru,"улица ​Текучёва, 234"
krasnodar.stalmetural.ru,Краснодар,7 (861) 944-06-86,7 (861) 944-03-36,7 (861) 944-80-66,8619448066;9034118066;8619440336;9034110336;8619440686;9034110686;9030846889,krasnodar@stalmetural.ru,"улица ​Красноармейская, 43"
omsk.stalmetural.ru,Омск,,7 (962) 388-79-12,7 (381) 238-16-68,3812381668;9039271668;9623887912;9030846889,omsk@stalmetural.ru,"улица ​Декабристов, 45"
voronezh.stalmetural.ru,Воронеж,,7 (962) 388-79-12,7 (473) 251-60-99,4732516099;9036516099;9623887912;9030846889,voronezh@stalmetural.ru,"​улица Ленина, 104Б"
perm.stalmetural.ru,Пермь,7 (342) 259-80-16,7 (342) 259-61-66,7 (342) 259-26-88,3422592688;9641902688;3422596166;9655581166;3422598016;9655700016;9030846889,perm@stalmetural.ru,"улица Сухобруса, 27"
volgograd.stalmetural.ru,Волгоград,,7 (962) 388-79-12,7 (844) 260-59-57,8442605957;9627595957;9623887912;9030846889,volgograd@stalmetural.ru,"улица ​Калинина, 2А"
saratov.stalmetural.ru,Саратов,,7 (962) 388-79-12,7 (845) 265-26-61,8452652661;9063072661;9623887912;9030846889,saratov@stalmetural.ru,"улица ​Чернышевского, 90"
tyumen.stalmetural.ru,Тюмень,7 (345) 253-13-88,7 (345) 253-06-55,7 (345) 253-16-98,3452531698;9634521698;3452530655;9634520655;3452531388;9634521388;9030846889,tymen@stalmetural.ru,"улица Коммунистическая, 16А"
tolyatti.stalmetural.ru,Тольятти,,7 (962) 388-79-12,7 (848) 241-76-60,8482417660;9626117660;9623887912;9030846889,tolyatti@stalmetural.ru,"улица ​40 лет Победы, 65Б"
barnaul.stalmetural.ru,Барнаул,,7 (962) 388-79-12,7 (385) 299-68-81,3852996881;9640866881;9623887912;9039000660,barnaul@stalmetural.ru,"улица Максима Горького, 22а"
izhevsk.stalmetural.ru,Ижевск,,7 (962) 388-79-12,7 (341) 232-13-36,3412321336;9658421336;9623887912;9030846889,izhevsk@stalmetural.ru,"улица Ленина, 21"
habarovsk.stalmetural.ru,Хабаровск,,7 (962) 388-79-12,7 (421) 268-05-56,4212680556;9098020556;9623887912;9039000660,habarovsk@stalmetural.ru,"улица Владивостокская, 16"
ulyanovsk.stalmetural.ru,Ульяновск,,7 (962) 388-79-12,7 (842) 271-36-69,8422713669;9677713669;9623887912;9030846889,ulyanovsk@stalmetural.ru,"улица Бебеля, 11"
irkutsk.stalmetural.ru,Иркутск,,7 (962) 388-79-12,7 (395) 294-37-34,3952943734;9643503734;9623887912;9039000660,irkutsk@stalmetural.ru,"улица ​Советская, 3Б"
vladivostok.stalmetural.ru,Владивосток,,7 (962) 388-79-12,7 (423) 254-61-86,4232546186;9025246186;9623887912;9039000660,vladivostok@stalmetural.ru,"улица Некрасовская, 49"
yaroslavl.stalmetural.ru,Ярославль,,7 (962) 388-79-12,7 (485) 259-58-83,4852595883;9066395883;9623887912;9030846889,yaroslavl@stalmetural.ru,"улица Угличская, 39"
sevastopol.stalmetural.ru,Севастополь,,7 (962) 388-79-12,7 (903) 084-68-89,9030846889;9623887912,krym@stalmetural.ru,"улица Руднева, 35Д"
stavropol.stalmetural.ru,Ставрополь,,7 (962) 388-79-12,7 (865) 240-47-88,8652404788;9624404788;9623887912;9030846889,stavropol@stalmetural.ru,"​проспект Карла Маркса, 63"
tomsk.stalmetural.ru,Томск,,7 (962) 388-79-12,7 (382) 223-80-66,3822238066;9095438066;9623887912;9030846889,tomsk@stalmetural.ru,"​проспект Фрунзе, 25"
kemerovo.stalmetural.ru,Кемерово,,7 (962) 388-79-12,7 (384) 224-02-66,3842240266;9618660266;9623887912;9039000660,kemerovo@stalmetural.ru,"улица 50 лет Октября, 11"
naberezhnye-chelny.stalmetural.ru,Набережные Челны,,7 (962) 388-79-12,7 (855) 221-60-68,8552216068;9673796068;9623887912;9030846889,chelny@stalmetural.ru,"проспект Хасана Туфана, 12"
orenburg.stalmetural.ru,Оренбург,,7 (962) 388-79-12,7 (353) 220-03-88,3532200388;9033600388;9623887912;9030846889,orenburg@stalmetural.ru,"проспект Победы, 114В"
novokuznetsk.stalmetural.ru,Новокузнецк,,7 (962) 388-79-12,7 (384) 358-33-86,3843583386;9618663386;9623887912;9039000660,novokuzneck@stalmetural.ru,"​проспект Николая Ермакова, 1к2"
